gene_symbol	ensembl_gene_id	total_nominations	first_nomination_year	nominating_teams	input_data	validation_details	pharos_class	in_snapshot	our_rank	overall_score	genetic_score	mutation_freq	expr_log2fc	prot_log2fc	chronos	frac_dependent	loeuf	druggability_score	tractability_modalities	max_disease_phase	n_disease_trials	n_publications	velocity	tissue_tau	target_class	is_common_essential	surface_or_secreted	winner_snapshot	rwr_snapshot	winner_global	winner_global_rank	string_degree	axes_with_data
APOE	ENSG00000130203	5	2018	Mayo-UFL-ISB; MSSM - Roussos Lab; ASU; Duke; Emory-Sage-SGC	Protein; RNA; Metabolomics; Genetics; Phenomics	not prioritized for experimental validation | Not prioritized for experimental validation  | Validation studies ongoing  | validation studies ongoing	Tbio	yes	4	0.7699520237898497	0.8893909787398722		-0.386				1.2948667658800423	0.3	3			28817	0.3125932609223722	0.375		false	true	0.5355	0.9498	0.255130	244	627	6
MSN	ENSG00000147065	5	2018	Chang Lab; Emory; MSSM - Zhang Lab; Emory-Sage-SGC	Genetics; RNA; Protein	validation studies ongoing | not prioritized for experimental validation	Tbio	yes	1836	0.10646540942515599			1.188				0.13125979573683313	0.3	3			1039	0.28007699711260825	0.247	Unclassified protein	false	false	0.132	0.0136	0.125507	1239	314	6
PLEC	ENSG00000178209	5	2018	Chang Lab; Columbia-Rush; Emory; MSSM - Zhang Lab; Emory-Sage-SGC	Genetics; Protein; Clinical	not prioritized for experimental validation | validation studies ongoing	Tbio	yes	3091	0.06598167260568177	0.09757852607867049		-0.649				0.6155465370241889	0.3	3			96	0.3854166666666667	0.2601	Structural protein	false	true			0.078247	2687	197	6
PRDX1	ENSG00000117450	5	2018	Chang Lab; Columbia-Rush; Emory; MSSM - Zhang Lab; Emory-Sage-SGC	Genetics; RNA; Protein; Clinical	not prioritized for experimental validation | validation studies ongoing	Tchem	yes	271	0.38524537650936785			-0.931				1.3471331896804288	0.3	2			260	0.35	0.164	Oxidoreductase	false	false	0.1108	0.0211	0.091182	2128	245	6
BIN1	ENSG00000136717	4	2018	Duke; Mayo-UFL-ISB; ASU; Emory-Sage-SGC	Genetics; Metabolomics; RNA; Protein	not prioritized for experimental validation | Validation studies ongoing  | Validation studies ongoing	Tbio	yes	63	0.5167886518826988	0.8010547845843712		-0.978				0.8124795232840079	0.3	3			1780	0.31910112359550563	0.4122		false	true	0.1726	0.0698	0.118992	1382	294	6
CLU	ENSG00000120885	4	2018	Columbia-Rush; Duke; Mayo-UFL-ISB; MSSM - Roussos Lab	Protein; Clinical; Genetics; Metabolomics; RNA	not prioritized for experimental validation | Validation studies ongoing 	Tbio	yes	44	0.5346469504612661	0.663649784651432		1.056				0.7531425881038972	0.85	2			2475	0.30383838383838385	0.2223		false	false	0.2609	0.0877	0.130785	1150	317	6
COL25A1	ENSG00000188517	4	2018	Emory; Mayo-UFL-ISB; Emory-Sage-SGC	Protein	validation studies ongoing | not prioritized for experimental validation	Tbio	yes	2953	0.06992165242756511			-0.698				0.9445752570124639	0.3	1			119	0.2605042016806723	0.8366		false	false			0.028352	7879	80	6
HTRA1	ENSG00000166033	4	2018	Emory; Mayo-UFL-ISB; MSSM - Roussos Lab; Emory-Sage-SGC	Protein; RNA	validation studies ongoing | not prioritized for experimental validation | Not prioritized for experimental validation 	Tchem	yes	4466	0.03545489341550151			-0.12				0.7265546133381112	0.3	3			343	0.3673469387755102	0.2786	Hydrolase	false	true			0.023250	8984	64	6
INPP5D	ENSG00000168918	4	2018	Duke; Mayo-UFL-ISB; MSSM - Zhang Lab; IUSM-Purdue	Genetics; Metabolomics; RNA	not prioritized for experimental validation | validation studies ongoing | validation studies completed	Tbio	yes	113	0.4713004124563869	0.7296946838886533		1.157				0.35903606150240164	0.85	3			589	0.3853989813242784	0.5387	Phosphatase	false	true	0.1392	0.0334	0.073574	2922	176	6
NRN1	ENSG00000124785	4	2018	Columbia-Rush; MSSM - Zhang Lab; Emory-Sage-SGC	Protein; Clinical; Genetics; RNA	not prioritized for experimental validation | validation studies ongoing | Validation studies ongoing	Tbio	yes	1778	0.10999327943658474			-1.444				0.6107995923812363	0.3	1			185	0.3621621621621622	0.4782		false	true	0.0154	0.0041	0.009056	13847	30	6
